Time,Symbol,Price,Kings,Knights,Pawns,Brief,Sentiment,Portfolio,IA_XP,IA_Grade
15:32:37,BTC,68980,689,83,111,Satellite crypté...,0.0,10000.0,0,Cadet
15:32:37,ETH,2064.0,124,33,184,Satellite crypté...,0.0,10000.0,0,Cadet
15:32:37,USDT,0.999448,92,134,1,Satellite crypté...,0.0,10000.0,0,Cadet
15:32:37,BNB,627.58,42,1,108,Satellite crypté...,0.0,10000.0,0,Cadet
15:32:37,XRP,1.36,41,3,142,Satellite crypté...,0.0,10000.0,0,Cadet
15:32:37,USDC,0.999872,39,18,0,Satellite crypté...,0.0,10000.0,0,Cadet
15:32:37,SOL,87.35,24,7,187,Satellite crypté...,0.0,10000.0,0,Cadet
15:32:37,TRX,0.310852,14,1,1,Satellite crypté...,0.0,10000.0,0,Cadet
15:33:37,BTC,69002,689,83,110,Satellite crypté...,0.0,10000.0,0,Cadet
15:33:37,ETH,2063.99,124,33,184,Satellite crypté...,0.0,10000.0,0,Cadet
15:33:37,USDT,0.999445,92,134,1,Satellite crypté...,0.0,10000.0,0,Cadet
15:33:37,BNB,627.55,42,1,109,Satellite crypté...,0.0,10000.0,0,Cadet
15:33:37,XRP,1.36,41,3,142,Satellite crypté...,0.0,10000.0,0,Cadet
15:33:37,USDC,0.999847,39,18,0,Satellite crypté...,0.0,10000.0,0,Cadet
15:33:37,SOL,87.36,24,7,187,Satellite crypté...,0.0,10000.0,0,Cadet
15:33:37,TRX,0.310866,14,1,0,Satellite crypté...,0.0,10000.0,0,Cadet
15:34:37,BTC,68985,689,83,111,Satellite crypté...,0.0,10000.0,0,Cadet
15:34:37,ETH,2063.66,124,34,184,Satellite crypté...,0.0,10000.0,0,Cadet
15:34:37,USDT,0.999453,92,134,1,Satellite crypté...,0.0,10000.0,0,Cadet
15:34:37,BNB,627.54,42,1,109,Satellite crypté...,0.0,10000.0,0,Cadet
15:34:37,XRP,1.36,41,3,142,Satellite crypté...,0.0,10000.0,0,Cadet
15:34:37,USDC,0.999819,39,18,0,Satellite crypté...,0.0,10000.0,0,Cadet
15:34:37,SOL,87.35,24,7,187,Satellite crypté...,0.0,10000.0,0,Cadet
15:34:37,TRX,0.310876,14,1,0,Satellite crypté...,0.0,10000.0,0,Cadet
15:35:38,BTC,68940,689,84,107,Satellite crypté...,0.0,10000.0,0,Cadet
15:35:38,ETH,2062.81,124,34,178,Satellite crypté...,0.0,10000.0,0,Cadet
15:35:38,USDT,0.999457,92,134,1,Satellite crypté...,0.0,10000.0,0,Cadet
15:35:38,BNB,627.44,42,1,105,Satellite crypté...,0.0,10000.0,0,Cadet
15:35:38,XRP,1.36,41,3,143,Satellite crypté...,0.0,10000.0,0,Cadet
15:35:38,USDC,0.999829,39,19,0,Satellite crypté...,0.0,10000.0,0,Cadet
15:35:38,SOL,87.35,24,7,187,Satellite crypté...,0.0,10000.0,0,Cadet
15:35:38,TRX,0.310875,14,1,0,Satellite crypté...,0.0,10000.0,0,Cadet
15:36:38,BTC,68931,689,83,108,Satellite crypté...,0.0,10000.0,0,Cadet
15:36:38,ETH,2063.83,124,33,176,Satellite crypté...,0.0,10000.0,0,Cadet
15:36:38,USDT,0.999486,92,134,0,Satellite crypté...,0.0,10000.0,0,Cadet
15:36:38,BNB,627.46,42,1,105,Satellite crypté...,0.0,10000.0,0,Cadet
15:36:38,XRP,1.36,41,3,143,Satellite crypté...,0.0,10000.0,0,Cadet
15:36:38,USDC,0.999843,39,19,0,Satellite crypté...,0.0,10000.0,0,Cadet
15:36:38,SOL,87.34,24,7,187,Satellite crypté...,0.0,10000.0,0,Cadet
15:36:38,TRX,0.310871,14,1,0,Satellite crypté...,0.0,10000.0,0,Cadet
15:37:38,BTC,68923,689,82,108,Satellite crypté...,0.0,10000.0,0,Cadet
15:37:38,ETH,2063.89,124,34,176,Satellite crypté...,0.0,10000.0,0,Cadet
15:37:38,USDT,0.999485,92,134,0,Satellite crypté...,0.0,10000.0,0,Cadet
15:37:38,BNB,627.41,42,1,106,Satellite crypté...,0.0,10000.0,0,Cadet
15:37:38,XRP,1.36,41,3,143,Satellite crypté...,0.0,10000.0,0,Cadet
15:37:38,USDC,0.999848,39,19,0,Satellite crypté...,0.0,10000.0,0,Cadet
15:37:38,SOL,87.33,24,7,188,Satellite crypté...,0.0,10000.0,0,Cadet
15:37:38,TRX,0.310871,14,1,0,Satellite crypté...,0.0,10000.0,0,Cadet
15:38:38,BTC,68895,689,83,110,Satellite crypté...,0.0,10000.0,0,Cadet
15:38:38,ETH,2062.98,124,33,178,Satellite crypté...,0.0,10000.0,0,Cadet
15:38:38,USDT,0.999461,92,134,1,Satellite crypté...,0.0,10000.0,0,Cadet
15:38:38,BNB,627.27,42,1,106,Satellite crypté...,0.0,10000.0,0,Cadet
15:38:38,XRP,1.36,41,3,143,Satellite crypté...,0.0,10000.0,0,Cadet
15:38:38,USDC,0.999839,39,19,0,Satellite crypté...,0.0,10000.0,0,Cadet
15:38:38,SOL,87.33,24,7,188,Satellite crypté...,0.0,10000.0,0,Cadet
15:38:38,TRX,0.310857,14,1,1,Satellite crypté...,0.0,10000.0,0,Cadet
15:39:39,BTC,68883,689,82,111,Satellite crypté...,0.0,10000.0,0,Cadet
15:39:39,ETH,2062.55,124,33,179,Satellite crypté...,0.0,10000.0,0,Cadet
15:39:39,USDT,0.999452,92,134,1,Satellite crypté...,0.0,10000.0,0,Cadet
15:39:39,BNB,627.16,42,1,107,Satellite crypté...,0.0,10000.0,0,Cadet
15:39:39,XRP,1.36,41,3,144,Satellite crypté...,0.0,10000.0,0,Cadet
15:39:39,USDC,0.999798,39,12,0,Satellite crypté...,0.0,10000.0,0,Cadet
15:39:39,SOL,87.32,24,7,188,Satellite crypté...,0.0,10000.0,0,Cadet
15:39:39,TRX,0.310834,14,1,1,Satellite crypté...,0.0,10000.0,0,Cadet
15:40:39,BTC,68889,689,82,109,Satellite crypté...,0.0,10000.0,0,Cadet
15:40:39,ETH,2062.96,124,33,178,Satellite crypté...,0.0,10000.0,0,Cadet
15:40:39,USDT,0.999463,92,134,1,Satellite crypté...,0.0,10000.0,0,Cadet
15:40:39,BNB,627.19,42,1,105,Satellite crypté...,0.0,10000.0,0,Cadet
15:40:39,XRP,1.36,41,3,144,Satellite crypté...,0.0,10000.0,0,Cadet
15:40:39,USDC,0.999878,39,19,0,Satellite crypté...,0.0,10000.0,0,Cadet
15:40:39,SOL,87.32,24,7,188,Satellite crypté...,0.0,10000.0,0,Cadet
