Tour,FED_Taux,Pions_Libres,BTC_Force,BTC_Rois,BTC_Pions,SOL_Force,SOL_Cavaliers,SOL_Pions,PEPE_Force,PEPE_Pions
78160,3.6,1200,322,2,1,480,0,0,5,0
78170,-2.37,1173,356,2,8,498,0,9,11,3
78180,-2.88,1200,292,2,1,400,1,0,7,1
78190,-1.97,1201,252,2,1,386,0,3,5,0
78200,-4.34,1190,280,2,5,416,0,3,9,2
78210,0.3,1153,300,2,15,494,0,12,25,10
78220,1.7,1177,320,2,5,542,0,6,17,6
78230,-3.36,1188,334,2,2,516,0,3,7,1
78240,-2.62,1178,322,2,6,620,0,5,11,3
78250,-1.49,1142,446,2,13,704,2,12,23,9
78260,-2.68,1178,324,2,7,548,1,4,7,1
78270,4.89,1193,316,2,3,394,0,2,5,0
78280,2.79,1190,374,2,2,404,2,2,7,1
78290,-1.19,1191,298,2,4,368,0,4,5,0
78300,1.2,1185,300,2,5,340,0,5,9,2
78310,-0.26,1193,314,2,2,266,0,3,5,0
78320,3.75,1205,250,2,0,220,0,0,5,0
78330,4.26,1207,250,2,0,220,0,0,5,0
78340,-0.92,1175,316,2,8,240,0,10,9,2
78350,0.63,1186,312,2,6,364,2,2,5,0
78360,-3.63,1183,310,2,5,438,1,4,9,2
78370,-3.9,1193,256,2,3,246,1,3,9,2
78380,4.72,1205,250,2,0,220,0,0,5,0
78390,3.99,1202,250,2,0,224,0,2,5,0
78400,4.17,1206,210,2,0,220,0,0,5,0
78410,-1.26,1197,214,2,2,362,0,1,5,0
78420,-1.62,1194,216,2,3,366,0,3,5,0
78430,1.74,1179,282,2,6,296,0,8,7,1
78440,-1.68,1197,332,2,1,224,0,2,5,0
78450,-3.64,1180,460,2,5,340,1,5,7,1
78460,-4.66,1189,276,2,3,292,0,6,7,1
78470,2.8,1200,254,2,2,260,2,0,5,0
78480,-1.43,1168,310,2,10,298,3,9,9,2
78490,-2.97,1199,174,1,2,186,0,3,7,1
78500,3.36,1203,162,1,1,182,0,1,5,0
78510,3.29,1209,160,1,0,100,0,0,5,0
78520,4.54,1207,132,1,1,100,0,0,5,0
78530,1.98,1189,180,1,5,112,0,6,9,2
78540,4.94,1206,170,1,0,102,0,1,5,0
78550,-4.12,1194,234,1,2,126,1,3,9,2
78560,-3.12,1198,284,1,2,134,0,2,7,1
78570,3.9,1199,442,3,1,162,0,1,5,0
78580,1.83,1166,462,3,11,218,2,9,11,3
78590,2.11,1131,538,3,19,238,2,19,21,8
