Time,Symbol,Price,Action,Kelly_Stake,BTC_Status,Portfolio,XP
16:01:11,ETH,2069.46,ATTENTE,0,INSTABLE,10000.0,0
16:01:11,USDT,0.999477,ATTENTE,0,INSTABLE,10000.0,0
16:01:11,BNB,626.79,ATTENTE,0,INSTABLE,10000.0,0
16:01:11,XRP,1.36,ATTENTE,0,INSTABLE,10000.0,0
16:01:11,USDC,0.999881,ATTENTE,0,INSTABLE,10000.0,0
16:01:11,SOL,87.55,ATTENTE,0,INSTABLE,10000.0,0
16:01:11,TRX,0.310971,ATTENTE,0,INSTABLE,10000.0,0
16:01:11,FIGR_HELOC,1.024,ATTENTE,0,INSTABLE,10000.0,0
16:01:11,DOGE,0.090985,ATTENTE,0,INSTABLE,10000.0,0
16:01:11,USDS,0.999665,ATTENTE,0,INSTABLE,10000.0,0
16:01:11,WBT,53.18,ATTENTE,0,INSTABLE,10000.0,0
16:01:11,ADA,0.25596,ATTENTE,0,INSTABLE,10000.0,0
16:01:11,HYPE,39.28,ATTENTE,0,INSTABLE,10000.0,0
16:01:11,BCH,461.85,ATTENTE,0,INSTABLE,10000.0,0
16:01:11,LEO,9.54,ATTENTE,0,INSTABLE,10000.0,0
16:01:11,LINK,8.93,ATTENTE,0,INSTABLE,10000.0,0
16:01:11,XMR,323.37,ATTENTE,0,INSTABLE,10000.0,0
16:01:11,USDE,0.999079,ATTENTE,0,INSTABLE,10000.0,0
16:01:11,XLM,0.172696,ATTENTE,0,INSTABLE,10000.0,0
16:02:13,ETH,2068.61,ATTENTE,0,INSTABLE,10000.0,0
16:02:13,USDT,0.999476,ATTENTE,0,INSTABLE,10000.0,0
16:02:13,BNB,626.61,ATTENTE,0,INSTABLE,10000.0,0
16:02:13,XRP,1.36,ATTENTE,0,INSTABLE,10000.0,0
16:02:13,USDC,0.999813,ATTENTE,0,INSTABLE,10000.0,0
16:02:13,SOL,87.51,ATTENTE,0,INSTABLE,10000.0,0
16:02:13,TRX,0.310957,ATTENTE,0,INSTABLE,10000.0,0
16:02:13,FIGR_HELOC,1.024,ATTENTE,0,INSTABLE,10000.0,0
16:02:13,DOGE,0.090965,ATTENTE,0,INSTABLE,10000.0,0
16:02:13,USDS,0.999664,ATTENTE,0,INSTABLE,10000.0,0
16:02:13,WBT,53.17,ATTENTE,0,INSTABLE,10000.0,0
16:02:13,ADA,0.255943,ATTENTE,0,INSTABLE,10000.0,0
16:02:13,HYPE,39.25,ATTENTE,0,INSTABLE,10000.0,0
16:02:13,BCH,461.75,ATTENTE,0,INSTABLE,10000.0,0
