Time,Symbol,Price,Kings_TVL,Knights_Vol,Pawns_Retail,IA_Order,IA_Reason,Portfolio
16:36:10,BTC,68911.0,0,31,1574,ATTENTE,Analyse impossible,10000.0
16:36:10,ETH,2065.61,0,67,854,ATTENTE,Analyse impossible,10000.0
16:36:10,USDT,0.999416,0,372,24,ATTENTE,Analyse impossible,10000.0
16:36:10,BNB,626.46,0,10,29,ATTENTE,Analyse impossible,10000.0
16:36:10,XRP,1.36,0,23,76,ATTENTE,Analyse impossible,10000.0
16:36:10,USDC,0.999847,0,124,0,ATTENTE,Analyse impossible,10000.0
16:36:10,SOL,87.44,0,71,191,ATTENTE,Analyse impossible,10000.0
16:36:10,TRX,0.31101,0,19,2,ATTENTE,Analyse impossible,10000.0
16:36:10,FIGR_HELOC,1.024,0,1,0,ATTENTE,Analyse impossible,10000.0
16:36:10,DOGE,0.091193,0,79,64,ATTENTE,Analyse impossible,10000.0
16:38:12,BTC,68862.0,0,31,1603,ATTENTE,Analyse impossible,10000.0
16:38:12,ETH,2065.49,0,66,854,ATTENTE,Analyse impossible,10000.0
16:38:12,USDT,0.999409,0,372,24,ATTENTE,Analyse impossible,10000.0
16:38:12,BNB,626.66,0,9,28,ATTENTE,Analyse impossible,10000.0
16:38:12,XRP,1.36,0,23,76,ATTENTE,Analyse impossible,10000.0
16:38:12,USDC,0.999841,0,124,0,ATTENTE,Analyse impossible,10000.0
16:38:12,SOL,87.44,0,70,191,ATTENTE,Analyse impossible,10000.0
16:38:12,TRX,0.311026,0,19,2,ATTENTE,Analyse impossible,10000.0
16:38:12,FIGR_HELOC,1.024,0,1,0,ATTENTE,Analyse impossible,10000.0
16:38:12,DOGE,0.091194,0,79,64,ATTENTE,Analyse impossible,10000.0
16:40:13,BTC,68835.0,0,31,1614,ATTENTE,Analyse impossible,10000.0
16:40:13,ETH,2064.57,0,63,819,ATTENTE,Analyse impossible,10000.0
16:40:13,USDT,0.999408,0,372,24,ATTENTE,Analyse impossible,10000.0
16:40:13,BNB,626.48,0,9,29,ATTENTE,Analyse impossible,10000.0
16:40:13,XRP,1.36,0,23,77,ATTENTE,Analyse impossible,10000.0
16:40:13,USDC,0.999868,0,63,0,ATTENTE,Analyse impossible,10000.0
16:40:13,SOL,87.39,0,70,192,ATTENTE,Analyse impossible,10000.0
16:40:13,TRX,0.311043,0,19,2,ATTENTE,Analyse impossible,10000.0
16:40:13,FIGR_HELOC,1.024,0,1,0,ATTENTE,Analyse impossible,10000.0
16:40:13,DOGE,0.091171,0,79,64,ATTENTE,Analyse impossible,10000.0
16:42:14,BTC,68813.0,0,31,1632,ATTENTE,Analyse impossible,10000.0
16:42:14,ETH,2063.27,0,66,880,ATTENTE,Analyse impossible,10000.0
16:42:14,USDT,0.999413,0,372,24,ATTENTE,Analyse impossible,10000.0
16:42:14,BNB,626.4,0,9,29,ATTENTE,Analyse impossible,10000.0
16:42:14,XRP,1.36,0,23,77,ATTENTE,Analyse impossible,10000.0
16:42:14,USDC,0.999864,0,123,0,ATTENTE,Analyse impossible,10000.0
16:42:14,SOL,87.32,0,71,195,ATTENTE,Analyse impossible,10000.0
16:42:14,TRX,0.311071,0,19,2,ATTENTE,Analyse impossible,10000.0
16:42:14,FIGR_HELOC,1.024,0,1,0,ATTENTE,Analyse impossible,10000.0
16:42:14,DOGE,0.091165,0,79,64,ATTENTE,Analyse impossible,10000.0
16:44:15,BTC,68839.0,0,31,1607,ATTENTE,Analyse impossible,10000.0
16:44:15,ETH,2062.75,0,63,838,ATTENTE,Analyse impossible,10000.0
16:44:15,USDT,0.999422,0,372,23,ATTENTE,Analyse impossible,10000.0
16:44:15,BNB,626.83,0,10,29,ATTENTE,Analyse impossible,10000.0
16:44:15,XRP,1.36,0,23,76,ATTENTE,Analyse impossible,10000.0
16:44:15,USDC,0.99981,0,67,0,ATTENTE,Analyse impossible,10000.0
16:44:15,SOL,87.27,0,71,197,ATTENTE,Analyse impossible,10000.0
16:44:15,TRX,0.311108,0,19,2,ATTENTE,Analyse impossible,10000.0
16:44:15,FIGR_HELOC,1.024,0,1,0,ATTENTE,Analyse impossible,10000.0
16:44:15,DOGE,0.091162,0,79,64,ATTENTE,Analyse impossible,10000.0
16:46:17,BTC,68877.0,0,31,1508,ATTENTE,Analyse impossible,10000.0
16:46:17,ETH,2064.22,0,63,797,ATTENTE,Analyse impossible,10000.0
16:46:17,USDT,0.999415,0,373,23,ATTENTE,Analyse impossible,10000.0
16:46:17,BNB,626.92,0,10,28,ATTENTE,Analyse impossible,10000.0
16:46:17,XRP,1.36,0,23,77,ATTENTE,Analyse impossible,10000.0
16:46:17,USDC,0.999862,0,122,0,ATTENTE,Analyse impossible,10000.0
16:46:17,SOL,87.26,0,71,199,ATTENTE,Analyse impossible,10000.0
16:46:17,TRX,0.311124,0,19,2,ATTENTE,Analyse impossible,10000.0
16:46:17,FIGR_HELOC,1.024,0,1,0,ATTENTE,Analyse impossible,10000.0
16:46:17,DOGE,0.091169,0,79,63,ATTENTE,Analyse impossible,10000.0
16:48:37,BTC,68845.0,0,31,1528,ATTENTE,Analyse impossible,10000.0
16:48:37,ETH,2062.4,0,63,811,ATTENTE,Analyse impossible,10000.0
16:48:37,USDT,0.999431,0,373,22,ATTENTE,Analyse impossible,10000.0
16:48:37,BNB,626.84,0,10,28,ATTENTE,Analyse impossible,10000.0
16:48:37,XRP,1.36,0,23,77,ATTENTE,Analyse impossible,10000.0
16:48:37,USDC,0.999887,0,128,0,ATTENTE,Analyse impossible,10000.0
16:48:37,SOL,87.24,0,71,200,ATTENTE,Analyse impossible,10000.0
16:48:37,TRX,0.311192,0,19,2,ATTENTE,Analyse impossible,10000.0
16:48:37,FIGR_HELOC,1.024,0,1,0,ATTENTE,Analyse impossible,10000.0
16:48:37,DOGE,0.09113,0,79,63,ATTENTE,Analyse impossible,10000.0
16:50:38,BTC,68865.0,0,31,1531,ATTENTE,Analyse impossible,10000.0
16:50:38,ETH,2062.48,0,63,815,ATTENTE,Analyse impossible,10000.0
16:50:38,USDT,0.999423,0,372,21,ATTENTE,Analyse impossible,10000.0
16:50:38,BNB,627.02,0,10,27,ATTENTE,Analyse impossible,10000.0
16:50:38,XRP,1.36,0,23,76,ATTENTE,Analyse impossible,10000.0
16:50:38,USDC,0.999814,0,66,0,ATTENTE,Analyse impossible,10000.0
16:50:38,SOL,87.21,0,71,196,ATTENTE,Analyse impossible,10000.0
16:50:38,TRX,0.311192,0,19,2,ATTENTE,Analyse impossible,10000.0
16:50:38,FIGR_HELOC,1.024,0,1,0,ATTENTE,Analyse impossible,10000.0
16:50:38,DOGE,0.091116,0,79,64,ATTENTE,Analyse impossible,10000.0
16:52:39,BTC,68854.0,0,31,1536,ATTENTE,Analyse impossible,10000.0
16:52:39,ETH,2061.67,0,63,825,ATTENTE,Analyse impossible,10000.0
16:52:39,USDT,0.999421,0,373,21,ATTENTE,Analyse impossible,10000.0
16:52:39,BNB,626.91,0,10,27,ATTENTE,Analyse impossible,10000.0
16:52:39,XRP,1.36,0,23,77,ATTENTE,Analyse impossible,10000.0
16:52:39,USDC,0.99988,0,121,0,ATTENTE,Analyse impossible,10000.0
16:52:39,SOL,87.17,0,71,197,ATTENTE,Analyse impossible,10000.0
16:52:39,TRX,0.311173,0,19,2,ATTENTE,Analyse impossible,10000.0
16:52:39,FIGR_HELOC,1.023,0,1,0,ATTENTE,Analyse impossible,10000.0
16:52:39,DOGE,0.091028,0,79,65,ATTENTE,Analyse impossible,10000.0
16:54:40,BTC,68877.0,0,31,1526,ATTENTE,Analyse impossible,10000.0
16:54:40,ETH,2060.64,0,63,828,ATTENTE,Analyse impossible,10000.0
16:54:40,USDT,0.999402,0,373,22,ATTENTE,Analyse impossible,10000.0
16:54:40,BNB,626.72,0,10,28,ATTENTE,Analyse impossible,10000.0
16:54:40,XRP,1.36,0,23,78,ATTENTE,Analyse impossible,10000.0
16:54:40,USDC,0.999875,0,127,0,ATTENTE,Analyse impossible,10000.0
16:54:40,SOL,87.16,0,71,198,ATTENTE,Analyse impossible,10000.0
16:54:40,TRX,0.311174,0,19,2,ATTENTE,Analyse impossible,10000.0
16:54:40,FIGR_HELOC,1.023,0,1,0,ATTENTE,Analyse impossible,10000.0
16:54:40,DOGE,0.091017,0,79,65,ATTENTE,Analyse impossible,10000.0
16:56:41,BTC,68910.0,0,31,1469,ATTENTE,Analyse impossible,10000.0
16:56:41,ETH,2061.46,0,63,818,ATTENTE,Analyse impossible,10000.0
16:56:41,USDT,0.999425,0,373,21,ATTENTE,Analyse impossible,10000.0
16:56:41,BNB,626.91,0,10,27,ATTENTE,Analyse impossible,10000.0
16:56:41,XRP,1.36,0,23,77,ATTENTE,Analyse impossible,10000.0
16:56:41,USDC,0.999891,0,128,1,ATTENTE,Analyse impossible,10000.0
