Timestamp,Symbole,Force_Frappe,Nb_Pieces,Statut
14:54:33,AAVE,480,201,Actif
14:54:33,PI,478,200,Actif
14:55:33,USDT,6408,354,Actif
14:55:33,BTC,5968,332,Actif
14:55:33,ETH,5048,286,Actif
14:55:33,USDC,4788,273,Actif
14:55:33,SOL,4546,260,Actif
14:55:33,XRP,4460,253,Actif
14:55:33,BNB,4420,251,Actif
14:55:33,TRX,2738,229,Actif
14:55:33,FIGR_HELOC,1680,216,Actif
14:55:33,DOGE,1560,216,Actif
14:55:33,USDS,1280,211,Actif
14:55:33,WBT,1278,210,Actif
14:55:33,HYPE,1118,208,Actif
14:55:33,BCH,1118,208,Actif
14:55:33,ADA,1118,208,Actif
14:55:33,LEO,1038,207,Actif
14:55:33,LINK,880,206,Actif
14:55:33,XMR,880,206,Actif
14:55:33,USDE,800,205,Actif
14:55:33,CC,800,205,Actif
14:55:33,XLM,796,203,Actif
14:55:33,USD1,758,205,Actif
14:55:33,DAI,720,204,Actif
14:55:33,LTC,720,204,Actif
14:55:33,RAIN,718,203,Actif
14:55:33,TAO,660,204,Actif
14:55:33,AVAX,640,203,Actif
14:55:33,HBAR,638,202,Actif
14:55:33,PYUSD,640,203,Actif
14:55:33,ZEC,640,203,Actif
14:55:33,SUI,640,203,Actif
14:55:33,TON,640,203,Actif
14:55:33,CRO,640,203,Actif
14:55:33,M,638,202,Actif
14:55:33,SHIB,636,201,Actif
14:55:33,XAUT,580,203,Actif
14:55:33,WLFI,560,202,Actif
14:55:33,USYC,560,202,Actif
14:55:33,MNT,560,202,Actif
14:55:33,PAXG,560,202,Actif
14:55:33,BUIDL,558,201,Actif
14:55:33,UNI,558,201,Actif
14:55:33,DOT,558,201,Actif
14:55:33,USDG,480,201,Actif
14:55:33,OKB,480,201,Actif
14:55:33,USDF,478,200,Actif
14:55:33,SKY,480,201,Actif
14:55:33,ASTER,480,201,Actif
14:55:33,AAVE,480,201,Actif
14:55:33,PI,478,200,Actif
14:56:33,USDT,6410,355,Actif
14:56:33,BTC,5970,333,Actif
14:56:33,ETH,5050,287,Actif
14:56:33,USDC,4790,274,Actif
14:56:33,SOL,4546,260,Actif
14:56:33,XRP,4460,253,Actif
14:56:33,BNB,4420,251,Actif
14:56:33,TRX,2738,229,Actif
14:56:33,FIGR_HELOC,1680,216,Actif
14:56:33,DOGE,1560,216,Actif
14:56:33,USDS,1278,210,Actif
14:56:33,WBT,1278,210,Actif
14:56:33,HYPE,1118,208,Actif
14:56:33,BCH,1118,208,Actif
14:56:33,ADA,1118,208,Actif
14:56:33,LEO,1038,207,Actif
14:56:33,LINK,880,206,Actif
14:56:33,XMR,880,206,Actif
14:56:33,USDE,798,204,Actif
14:56:33,CC,800,205,Actif
14:56:33,XLM,796,203,Actif
14:56:33,USD1,758,205,Actif
14:56:33,DAI,720,204,Actif
14:56:33,LTC,720,204,Actif
14:56:33,RAIN,718,203,Actif
14:56:33,TAO,660,204,Actif
14:56:33,AVAX,640,203,Actif
14:56:33,PYUSD,640,203,Actif
14:56:33,ZEC,640,203,Actif
14:56:33,SUI,640,203,Actif
14:56:33,TON,640,203,Actif
14:56:33,CRO,640,203,Actif
14:56:33,HBAR,638,202,Actif
14:56:33,M,638,202,Actif
14:56:33,SHIB,636,201,Actif
14:56:33,XAUT,578,202,Actif
14:56:33,WLFI,560,202,Actif
14:56:33,USYC,560,202,Actif
14:56:33,MNT,560,202,Actif
14:56:33,PAXG,560,202,Actif
14:56:33,BUIDL,558,201,Actif
14:56:33,UNI,558,201,Actif
14:56:33,DOT,558,201,Actif
14:56:33,USDG,480,201,Actif
14:56:33,OKB,480,201,Actif
14:56:33,SKY,480,201,Actif
14:56:33,ASTER,480,201,Actif
14:56:33,AAVE,480,201,Actif
14:56:33,USDF,478,200,Actif
14:56:33,PI,478,200,Actif
14:57:33,USDT,6412,356,Actif
14:57:33,BTC,5970,333,Actif
14:57:33,ETH,5052,288,Actif
14:57:33,USDC,4792,275,Actif
14:57:33,SOL,4548,261,Actif
14:57:33,XRP,4460,253,Actif
14:57:33,BNB,4420,251,Actif
14:57:33,TRX,2738,229,Actif
14:57:33,FIGR_HELOC,1680,216,Actif
14:57:33,DOGE,1558,215,Actif
14:57:33,USDS,1278,210,Actif
14:57:33,WBT,1278,210,Actif
14:57:33,HYPE,1118,208,Actif
14:57:33,BCH,1118,208,Actif
14:57:33,ADA,1118,208,Actif
14:57:33,LEO,1038,207,Actif
14:57:33,LINK,880,206,Actif
14:57:33,XMR,878,205,Actif
14:57:33,CC,800,205,Actif
14:57:33,USDE,798,204,Actif
14:57:33,XLM,796,203,Actif
14:57:33,USD1,758,205,Actif
14:57:33,DAI,718,203,Actif
14:57:33,LTC,720,204,Actif
14:57:33,RAIN,718,203,Actif
14:57:33,TAO,660,204,Actif
14:57:33,AVAX,638,202,Actif
14:57:33,PYUSD,640,203,Actif
14:57:33,ZEC,640,203,Actif
14:57:33,SUI,640,203,Actif
14:57:33,TON,640,203,Actif
14:57:33,CRO,640,203,Actif
14:57:33,HBAR,638,202,Actif
14:57:33,M,638,202,Actif
14:57:33,SHIB,636,201,Actif
14:57:33,XAUT,578,202,Actif
14:57:33,WLFI,560,202,Actif
14:57:33,USYC,560,202,Actif
14:57:33,MNT,560,202,Actif
14:57:33,PAXG,560,202,Actif
14:57:33,BUIDL,558,201,Actif
14:57:33,UNI,558,201,Actif
14:57:33,DOT,558,201,Actif
14:57:33,USDG,480,201,Actif
14:57:33,OKB,480,201,Actif
14:57:33,SKY,480,201,Actif
14:57:33,ASTER,480,201,Actif
14:57:33,AAVE,480,201,Actif
14:57:33,USDF,478,200,Actif
14:57:33,PI,478,200,Actif
14:58:33,USDT,6414,357,Actif
14:58:33,BTC,5972,334,Actif
14:58:33,ETH,5052,288,Actif
14:58:33,USDC,4794,276,Actif
14:58:33,SOL,4550,262,Actif
14:58:33,XRP,4458,252,Actif
14:58:33,BNB,4420,251,Actif
14:58:33,TRX,2738,229,Actif
14:58:33,FIGR_HELOC,1680,216,Actif
14:58:33,DOGE,1558,215,Actif
14:58:33,USDS,1278,210,Actif
14:58:33,WBT,1278,210,Actif
14:58:33,HYPE,1118,208,Actif
14:58:33,BCH,1118,208,Actif
14:58:33,ADA,1118,208,Actif
14:58:33,LEO,1038,207,Actif
14:58:33,LINK,880,206,Actif
14:58:33,XMR,878,205,Actif
14:58:33,CC,800,205,Actif
14:58:33,USDE,798,204,Actif
14:58:33,XLM,794,202,Actif
14:58:33,USD1,758,205,Actif
14:58:33,LTC,720,204,Actif
14:58:33,DAI,718,203,Actif
14:58:33,RAIN,718,203,Actif
14:58:33,TAO,660,204,Actif
14:58:33,PYUSD,640,203,Actif
14:58:33,ZEC,640,203,Actif
14:58:33,SUI,640,203,Actif
14:58:33,TON,640,203,Actif
14:58:33,CRO,640,203,Actif
14:58:33,AVAX,638,202,Actif
14:58:33,HBAR,638,202,Actif
14:58:33,M,638,202,Actif
14:58:33,SHIB,634,200,Actif
14:58:33,XAUT,578,202,Actif
14:58:33,WLFI,558,201,Actif
14:58:33,USYC,560,202,Actif
14:58:33,MNT,560,202,Actif
14:58:33,PAXG,560,202,Actif
14:58:33,BUIDL,558,201,Actif
14:58:33,UNI,558,201,Actif
14:58:33,DOT,558,201,Actif
14:58:33,USDG,480,201,Actif
14:58:33,OKB,480,201,Actif
14:58:33,SKY,480,201,Actif
14:58:33,ASTER,480,201,Actif
14:58:33,AAVE,480,201,Actif
14:58:33,USDF,476,199,Actif
14:58:33,PI,478,200,Actif
14:59:33,USDT,6416,358,Actif
14:59:33,BTC,5974,335,Actif
14:59:33,ETH,5054,289,Actif
14:59:33,USDC,4796,277,Actif
14:59:33,SOL,4552,263,Actif
14:59:33,XRP,4458,252,Actif
14:59:33,BNB,4420,251,Actif
14:59:33,TRX,2738,229,Actif
14:59:33,FIGR_HELOC,1680,216,Actif
14:59:33,DOGE,1558,215,Actif
14:59:33,USDS,1278,210,Actif
14:59:33,WBT,1278,210,Actif
14:59:33,HYPE,1118,208,Actif
14:59:33,BCH,1118,208,Actif
14:59:33,ADA,1118,208,Actif
14:59:33,LEO,1036,206,Actif
14:59:33,LINK,878,205,Actif
14:59:33,XMR,876,204,Actif
14:59:33,CC,800,205,Actif
14:59:33,USDE,798,204,Actif
14:59:33,XLM,794,202,Actif
14:59:33,USD1,756,204,Actif
14:59:33,LTC,720,204,Actif
14:59:33,DAI,718,203,Actif
14:59:33,RAIN,718,203,Actif
14:59:33,TAO,660,204,Actif
14:59:33,PYUSD,640,203,Actif
14:59:33,ZEC,640,203,Actif
14:59:33,SUI,640,203,Actif
14:59:33,TON,640,203,Actif
14:59:33,CRO,640,203,Actif
14:59:33,AVAX,638,202,Actif
14:59:33,HBAR,638,202,Actif
14:59:33,M,638,202,Actif
14:59:33,SHIB,634,200,Actif
14:59:33,XAUT,576,201,Actif
14:59:33,USYC,560,202,Actif
14:59:33,MNT,560,202,Actif
14:59:33,PAXG,560,202,Actif
14:59:33,WLFI,558,201,Actif
14:59:33,BUIDL,558,201,Actif
14:59:33,UNI,558,201,Actif
14:59:33,DOT,558,201,Actif
14:59:33,USDG,480,201,Actif
14:59:33,OKB,480,201,Actif
14:59:33,SKY,480,201,Actif
14:59:33,ASTER,480,201,Actif
14:59:33,AAVE,480,201,Actif
14:59:33,PI,478,200,Actif
14:59:33,USDF,476,199,Actif
15:00:33,USDT,6418,359,Actif
15:00:33,BTC,5976,336,Actif
15:00:33,ETH,5056,290,Actif
15:00:33,USDC,4798,278,Actif
15:00:33,SOL,4554,264,Actif
15:00:33,XRP,4456,251,Actif
15:00:33,BNB,4420,251,Actif
15:00:33,TRX,2736,228,Actif
15:00:33,FIGR_HELOC,1680,216,Actif
15:00:33,DOGE,1558,215,Actif
15:00:33,USDS,1278,210,Actif
15:00:33,WBT,1278,210,Actif
15:00:33,HYPE,1118,208,Actif
15:00:33,BCH,1118,208,Actif
15:00:33,ADA,1118,208,Actif
